artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
Deftones,Tempest,1parffUcsk8pfGbyMtGnmW,56,2012,alt-rock,0.343,0.798,9,-5.962,0,0.0545,0.00148,0.000344,0.11,0.0549,147.769,365480,4,2
for KING & COUNTRY,The Proof of Your Love,5pNavG44Qct8Vm5vQDDxYF,53,2012,alt-rock,0.396,0.671,0,-6.953,0,0.0351,0.0984,0.0,0.0844,0.257,156.072,197320,4,2
Deftones,Leathers,0RLhtEt50QUwKXNwKI4dSJ,55,2012,alt-rock,0.28,0.861,10,-4.6,1,0.0647,5.61e-05,0.0977,0.0798,0.0597,157.904,248893,4,2
Deftones,Gauze,6ApFw0KmCRA0X0p2Vbqm0U,54,2012,alt-rock,0.321,0.926,0,-4.789,1,0.064,0.000107,0.0437,0.353,0.287,110.199,281400,4,2
The Vaccines,I Always Knew,6E3NosMXYlGD21K7KqIxQ1,56,2012,alt-rock,0.393,0.872,2,-2.53,1,0.0401,0.000122,0.000407,0.312,0.393,150.097,214347,4,2
Flyleaf,Call You Out,6MLiQIWMaTaaOB04R1VC0k,51,2012,alt-rock,0.361,0.903,7,-3.447,1,0.05,0.000869,0.000716,0.866,0.496,146.106,139440,4,2
Hollywood Undead,Lion,79CATxWpb9uezVeOIazKgs,57,2012,alt-rock,0.478,0.898,6,-5.603,1,0.106,0.00193,0.0,0.0703,0.536,168.953,234933,4,2
Rend Collective,Build Your Kingdom Here,0yqWOXyvDtC2ol1Idz8r8J,54,2012,alt-rock,0.456,0.508,2,-14.339,1,0.0402,0.0218,0.0,0.237,0.553,133.965,257960,4,2
TobyMac,Me Without You,3LEBulRQI5hHe2TUKKswUf,51,2012,alt-rock,0.775,0.785,7,-3.503,0,0.0411,0.00247,0.0,0.0669,0.963,130.027,214665,4,1
Three Days Grace,Misery Loves My Company,1We9y0dSphaMHt4owfGWpw,53,2012,alt-rock,0.516,0.872,8,-5.102,1,0.0402,0.00139,0.0,0.258,0.556,99.936,162293,4,1
Three Days Grace,The High Road,5M7y0vJBmG5TDmOIBN9run,53,2012,alt-rock,0.442,0.88,1,-4.187,0,0.0761,0.0424,0.0,0.153,0.4,142.733,193680,4,2
Hollywood Undead,We Are,05c0LG7DakbvX0gYbBHjPP,55,2012,alt-rock,0.409,0.979,5,-2.107,1,0.134,0.00146,2.68e-06,0.139,0.201,173.982,274387,4,2
WALK THE MOON,Tightrope,44psOy0D0SP8rcIiUgKgBs,51,2012,alt-rock,0.467,0.794,1,-6.174,0,0.0349,8.39e-05,0.00204,0.103,0.589,162.435,209187,4,2
Third Day,I Need A Miracle,2gXwMixw0voLNVxPr4Ja6v,51,2012,alt-rock,0.401,0.698,4,-6.321,1,0.0393,0.0231,0.0,0.149,0.347,166.373,222547,4,2
Die Antwoord,Baby's On Fire,6mlGXuG5FmzcePHsMn6rIA,61,2012,alt-rock,0.829,0.844,4,-4.329,0,0.0967,0.0521,0.00148,0.171,0.762,130.037,236840,4,1
Vicentico,No Te Apartes de Mí,74KqkyHbpneHF6JT8EwUOO,70,2012,alt-rock,0.816,0.549,7,-8.649,1,0.0312,0.791,3.4e-05,0.117,0.886,111.032,198333,4,1
The Offspring,Slim Pickens Does The Right Thing And Rides The Bomb To Hell,1feH81BVs89SplmcJzuh1F,59,2012,alt-rock,0.52,0.983,0,-1.415,1,0.0703,0.0265,0.0,0.32,0.62,149.033,156000,4,1
Thousand Foot Krutch,Fly On the Wall,61nJplehv0WVUKMQX0pd8O,54,2012,alt-rock,0.61,0.663,4,-5.871,0,0.0322,0.00235,0.0,0.269,0.33,120.027,242772,4,1
Hollywood Undead,Kill Everyone,168wlfnWuhfvgfgeuz7vZO,52,2012,alt-rock,0.523,0.886,7,-4.472,1,0.12,0.000219,0.0,0.124,0.745,171.958,172573,4,1
Youngblood Hawke,We Come Running,4Xv41B0BJRcMBJYpavNDfD,48,2012,alt-rock,0.56,0.736,10,-7.014,1,0.041,0.000287,0.00303,0.118,0.31,124.983,248600,4,2
Nonpoint,That Day,7nobjDCjkn6Y8UDQFt2mga,53,2012,alt-rock,0.538,0.975,5,-4.518,0,0.0668,0.000416,0.0561,0.296,0.588,100.046,210827,4,1
Big Daddy Weave,Overwhelmed,0UcyrdirFfmpzEKQJ47Ixr,49,2012,alt-rock,0.527,0.639,0,-6.828,1,0.0386,0.0752,0.0,0.105,0.197,148.015,329027,3,2
The Killers,Runaways,62BxlOvQCjLNQA5ARA4Dug,58,2012,alt-rock,0.409,0.837,1,-4.043,1,0.0406,0.00116,0.00651,0.0855,0.199,121.757,243787,4,2
Deftones,What Happened to You?,3GXmLpYjgpjXFtDkS4wtJ7,51,2012,alt-rock,0.54,0.776,5,-5.161,1,0.0641,0.015,0.0548,0.0952,0.574,152.062,233707,4,2
Sidewalk Prophets,Live Like That,6QbbxQtijqLfUV90Vlm1Xh,49,2012,alt-rock,0.479,0.893,3,-4.134,1,0.0476,0.053,0.0,0.0791,0.398,124.062,237199,4,2
